channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,Unnamed: 9
Bro Code,JavaScript Full Course for free 🌐 (2024),https://www.youtube.com/watch?v=lfmg-EJ8gm4,1/1/24,12:00:00,1742109,54761,2605,javascriptfullcourseforfree2024.txt,2
Bro Code,Build a JavaScript WEATHER APP in 30+ minutes! ☀️,https://www.youtube.com/watch?v=VaDUGPMjzOM,12/30/23,38:40:00,40762,1108,72,buildajavascriptweatherappin30minutes.txt,2
Bro Code,How to FETCH data from an API using JavaScript ↩️,https://www.youtube.com/watch?v=37vxWr0WgQk,12/28/23,14:17,113173,3408,101,howtofetchdatafromanapiusingjavascript.txt,2
Bro Code,Build a JavaScript IMAGE SLIDER in 15 minutes! 🖼️,https://www.youtube.com/watch?v=749ta0nvj8s,12/26/23,15:49,38944,1000,32,buildajavascriptimagesliderin15minutes.txt,2
Bro Code,Build JavaScript ROCK PAPER SCISSORS in 18 minutes! 👊,https://www.youtube.com/watch?v=3uKdQx-SZ5A,12/24/23,18:54,28150,704,53,buildjavascriptrockpaperscissorsin18minutes.txt,2
Bro Code,Learn JSON files in 10 minutes! 📄,https://www.youtube.com/watch?v=r4MLHHLctKw,12/22/23,10:09,44008,1204,34,learnjsonfilesin10minutes.txt,2
Bro Code,JavaScript ASYNC/AWAIT is easy! ⏳,https://www.youtube.com/watch?v=9j1dZwFEJ-c,12/21/23,4:39,66838,1835,50,javascriptasyncawaitiseasy.txt,2
Bro Code,What are JavaScript PROMISES? 🤞,https://www.youtube.com/watch?v=NOzi4wBHn0o,12/21/23,12:37,52805,1792,53,whatarejavascriptpromises.txt,2
Bro Code,Build this React To-Do List app in 20 minutes! ☝,https://www.youtube.com/watch?v=9wiWzu_tRB0,12/19/23,22:35,45247,1041,48,buildthisreacttodolistappin20minutes.txt,2
Bro Code,Learn JS METHOD CHAINING in 5 minutes! ⛓,https://www.youtube.com/watch?v=J4YhlDsNqeE,12/19/23,5:27,10515,323,13,learnjsmethodchainingin5minutes.txt,2
